#2m_70cm_OptimalBothBands_05062020: S W R (Z0 = 50 ohm),
#Freq [MHz],S W R [SWR]
140,2.140616478
141,2.014537154
142,1.893183584
143,1.776816684
144,1.665720698
145,1.560207114
146,1.460677593
147,1.367720258
148,1.282419497
149,1.207196872
150,1.148407477
